TEAM_NAME|TEAM|DIVISION|LEAGUE|PREFIX_2
Tenn Tech|Tenn Tech|Ohio Valley|mens-college-basketball|tennessee-tech-golden-eagles
UT Martin|UT Martin|Ohio Valley|mens-college-basketball|ut-martin-skyhawks
Arizona|Arizona|Pac-12|mens-college-basketball|arizona-wildcats
Arizona State|Arizona State|Pac-12|mens-college-basketball|arizona-state-sun-devils
Cal|Cal|Pac-12|mens-college-basketball|california-golden-bears
Colorado|Colorado|Pac-12|mens-college-basketball|colorado-buffaloes
Oregon|Oregon|Pac-12|mens-college-basketball|oregon-ducks
Oregon State|Oregon State|Pac-12|mens-college-basketball|oregon-state-beavers
Stanford|Stanford|Pac-12|mens-college-basketball|stanford-cardinal
UCLA|UCLA|Pac-12|mens-college-basketball|ucla-bruins
USC|USC|Pac-12|mens-college-basketball|usc-trojans
Utah|Utah|Pac-12|mens-college-basketball|utah-utes
Washington|Washington|Pac-12|mens-college-basketball|washington-huskies
Washington St|Washington St|Pac-12|mens-college-basketball|washington-state-cougars
American U|American U|Patriot League|mens-college-basketball|american-eagles
Army|Army|Patriot League|mens-college-basketball|army-black-knights
Boston U|Boston U|Patriot League|mens-college-basketball|boston-university-terriers
Bucknell|Bucknell|Patriot League|mens-college-basketball|bucknell-bison
Colgate|Colgate|Patriot League|mens-college-basketball|colgate-raiders
Holy Cross|Holy Cross|Patriot League|mens-college-basketball|holy-cross-crusaders
Lafayette|Lafayette|Patriot League|mens-college-basketball|lafayette-leopards
Lehigh|Lehigh|Patriot League|mens-college-basketball|lehigh-mountain-hawks
Loyola (MD)|Loyola (MD)|Patriot League|mens-college-basketball|loyola-(md)-greyhounds
Navy|Navy|Patriot League|mens-college-basketball|navy-midshipmen
Alabama|Alabama|SEC|mens-college-basketball|alabama-crimson-tide
Arkansas|Arkansas|SEC|mens-college-basketball|arkansas-razorbacks
Auburn|Auburn|SEC|mens-college-basketball|auburn-tigers
Florida|Florida|SEC|mens-college-basketball|florida-gators
Georgia|Georgia|SEC|mens-college-basketball|georgia-bulldogs
Kentucky|Kentucky|SEC|mens-college-basketball|kentucky-wildcats
LSU|LSU|SEC|mens-college-basketball|lsu-tigers
Miss St|Miss St|SEC|mens-college-basketball|mississippi-state-bulldogs
Missouri|Missouri|SEC|mens-college-basketball|missouri-tigers
Ole Miss|Ole Miss|SEC|mens-college-basketball|ole-miss-rebels
South Carolina|South Carolina|SEC|mens-college-basketball|south-carolina-gamecocks
Tennessee|Tennessee|SEC|mens-college-basketball|tennessee-volunteers
Texas A&M|Texas A&M;|SEC|mens-college-basketball|texas-a%26m-aggies
Vanderbilt|Vanderbilt|SEC|mens-college-basketball|vanderbilt-commodores
Chattanooga|Chattanooga|Southern|mens-college-basketball|chattanooga-mocs
ETSU|ETSU|Southern|mens-college-basketball|east-tennessee-state-buccaneers
Furman|Furman|Southern|mens-college-basketball|furman-paladins
Mercer|Mercer|Southern|mens-college-basketball|mercer-bears
Samford|Samford|Southern|mens-college-basketball|samford-bulldogs
The Citadel|The Citadel|Southern|mens-college-basketball|the-citadel-bulldogs
UNCG|UNCG|Southern|mens-college-basketball|unc-greensboro-spartans
VMI|VMI|Southern|mens-college-basketball|vmi-keydets
W Carolina|W Carolina|Southern|mens-college-basketball|western-carolina-catamounts
Wofford|Wofford|Southern|mens-college-basketball|wofford-terriers
Abil Christian|Abil Christian|Southland|mens-college-basketball|abilene-christian-wildcats
Cent Arkansas|Cent Arkansas|Southland|mens-college-basketball|central-arkansas-bears
Houston Baptist|Houston Baptist|Southland|mens-college-basketball|houston-baptist-huskies
Incarnate Word|Incarnate Word|Southland|mens-college-basketball|incarnate-word-cardinals
Lamar|Lamar|Southland|mens-college-basketball|lamar-cardinals
McNeese|McNeese|Southland|mens-college-basketball|mcneese-cowboys
New Orleans|New Orleans|Southland|mens-college-basketball|new-orleans-privateers
Nicholls|Nicholls|Southland|mens-college-basketball|nicholls-colonels
Northwestern St|Northwestern St|Southland|mens-college-basketball|northwestern-state-demons
Sam Houston|Sam Houston|Southland|mens-college-basketball|sam-houston-state-bearkats
SE Louisiana|SE Louisiana|Southland|mens-college-basketball|se-louisiana-lions
SF Austin|SF Austin|Southland|mens-college-basketball|stephen-f.-austin-lumberjacks
Texas A&M-CC|Texas A&M-CC;|Southland|mens-college-basketball|texas-a%26m-cc-islanders
Alabama A&M|Alabama A&M;|SWAC|mens-college-basketball|alabama-a%26m-bulldogs
Alabama State|Alabama State|SWAC|mens-college-basketball|alabama-state-hornets
Alcorn State|Alcorn State|SWAC|mens-college-basketball|alcorn-state-braves
AR-Pine Bluff|AR-Pine Bluff|SWAC|mens-college-basketball|arkansas-pine-bluff-golden-lions
Southern|Southern|SWAC|mens-college-basketball|baton-rouge-southern
Grambling|Grambling|SWAC|mens-college-basketball|grambling-tigers
Jackson State|Jackson State|SWAC|mens-college-basketball|jackson-state-tigers
Miss Valley St|Miss Valley St|SWAC|mens-college-basketball|mississippi-valley-state-delta-devils
PV A&M|PV A&M;|SWAC|mens-college-basketball|prairie-view-a%26m-panthers
Texas Southern|Texas Southern|SWAC|mens-college-basketball|texas-southern-tigers
Denver|Denver|Summit League|mens-college-basketball|denver-pioneers
Fort Wayne|Fort Wayne|Summit League|mens-college-basketball|fort-wayne-mastodons
North Dakota St|North Dakota St|Summit League|mens-college-basketball|north-dakota-state-bison
Omaha|Omaha|Summit League|mens-college-basketball|omaha-mavericks
Oral Roberts|Oral Roberts|Summit League|mens-college-basketball|oral-roberts-golden-eagles
South Dakota|South Dakota|Summit League|mens-college-basketball|south-dakota-coyotes
South Dakota St|South Dakota St|Summit League|mens-college-basketball|south-dakota-state-jackrabbits
W Illinois|W Illinois|Summit League|mens-college-basketball|western-illinois-leathernecks
Appalachian St|Appalachian St|Sun Belt|mens-college-basketball|appalachian-state-mountaineers
Arkansas State|Arkansas State|Sun Belt|mens-college-basketball|arkansas-state-red-wolves
C. Carolina|C. Carolina|Sun Belt|mens-college-basketball|coastal-carolina-chanticleers
Ga Southern|Ga Southern|Sun Belt|mens-college-basketball|georgia-southern-eagles
Georgia State|Georgia State|Sun Belt|mens-college-basketball|georgia-state-panthers
Little Rock|Little Rock|Sun Belt|mens-college-basketball|little-rock-trojans
Louisiana|Louisiana|Sun Belt|mens-college-basketball|louisiana-ragin'-cajuns
South Alabama|South Alabama|Sun Belt|mens-college-basketball|south-alabama-jaguars
Texas State|Texas State|Sun Belt|mens-college-basketball|texas-state-bobcats
Troy|Troy|Sun Belt|mens-college-basketball|troy-trojans
UL Monroe|UL Monroe|Sun Belt|mens-college-basketball|ul-monroe-warhawks
UT Arlington|UT Arlington|Sun Belt|mens-college-basketball|ut-arlington-mavericks
BYU|BYU|West Coast|mens-college-basketball|byu-cougars
Gonzaga|Gonzaga|West Coast|mens-college-basketball|gonzaga-bulldogs
Loyola Mary|Loyola Mary|West Coast|mens-college-basketball|loyola-marymount-lions
Pacific|Pacific|West Coast|mens-college-basketball|pacific-tigers
Pepperdine|Pepperdine|West Coast|mens-college-basketball|pepperdine-waves
Portland|Portland|West Coast|mens-college-basketball|portland-pilots
Saint Mary's|Saint Mary's|West Coast|mens-college-basketball|saint-mary's-gaels
San Diego|San Diego|West Coast|mens-college-basketball|san-diego-toreros
San Francisco|San Francisco|West Coast|mens-college-basketball|san-francisco-dons
Santa Clara|Santa Clara|West Coast|mens-college-basketball|santa-clara-broncos
Chicago State|Chicago State|WAC|mens-college-basketball|chicago-state-cougars
CSU Bakersfield|CSU Bakersfield|WAC|mens-college-basketball|csu-bakersfield-roadrunners
Grand Canyon|Grand Canyon|WAC|mens-college-basketball|grand-canyon-antelopes
New Mexico St|New Mexico St|WAC|mens-college-basketball|new-mexico-state-aggies
Seattle|Seattle|WAC|mens-college-basketball|seattle-redhawks
UMKC|UMKC|WAC|mens-college-basketball|umkc-kangaroos
UT Rio Grande|UT Rio Grande|WAC|mens-college-basketball|ut-rio-grande-valley-vaqueros
Utah Valley|Utah Valley|WAC|mens-college-basketball|utah-valley-wolverines
Cincinnati|Cincinnati|American Athletic|college-football|cincinnati-bearcats
Connecticut|Connecticut|American Athletic|college-football|connecticut-huskies
East Carolina|East Carolina|American Athletic|college-football|east-carolina-pirates
Houston|Houston|American Athletic|college-football|houston-cougars
Memphis|Memphis|American Athletic|college-football|memphis-tigers
Navy|Navy|American Athletic|college-football|navy-midshipmen
SMU|SMU|American Athletic|college-football|smu-mustangs
South Florida|South Florida|American Athletic|college-football|south-florida-bulls
Temple|Temple|American Athletic|college-football|temple-owls
Tulane|Tulane|American Athletic|college-football|tulane-green-wave
Tulsa|Tulsa|American Athletic|college-football|tulsa-golden-hurricane
UCF|UCF|American Athletic|college-football|ucf-knights
Boston College|Boston College|ACC|college-football|boston-college-eagles
Clemson|Clemson|ACC|college-football|clemson-tigers
Duke|Duke|ACC|college-football|duke-blue-devils
Florida State|Florida State|ACC|college-football|florida-state-seminoles
Georgia Tech|Georgia Tech|ACC|college-football|georgia-tech-yellow-jackets
Louisville|Louisville|ACC|college-football|louisville-cardinals
Miami|Miami|ACC|college-football|miami-hurricanes
NC State|NC State|ACC|college-football|nc-state-wolfpack
North Carolina|North Carolina|ACC|college-football|north-carolina-tar-heels
Pittsburgh|Pittsburgh|ACC|college-football|pittsburgh-panthers
Syracuse|Syracuse|ACC|college-football|syracuse-orange
Virginia|Virginia|ACC|college-football|virginia-cavaliers
Virginia Tech|Virginia Tech|ACC|college-football|virginia-tech-hokies
Wake Forest|Wake Forest|ACC|college-football|wake-forest-demon-deacons
Baylor|Baylor|Big 12|college-football|baylor-bears
Iowa State|Iowa State|Big 12|college-football|iowa-state-cyclones
Kansas|Kansas|Big 12|college-football|kansas-jayhawks
Kansas State|Kansas State|Big 12|college-football|kansas-state-wildcats
Oklahoma|Oklahoma|Big 12|college-football|oklahoma-sooners
Oklahoma State|Oklahoma State|Big 12|college-football|oklahoma-state-cowboys
TCU|TCU|Big 12|college-football|tcu-horned-frogs
Texas|Texas|Big 12|college-football|texas-longhorns
Texas Tech|Texas Tech|Big 12|college-football|texas-tech-red-raiders
West Virginia|West Virginia|Big 12|college-football|west-virginia-mountaineers
Illinois|Illinois|Big Ten|college-football|illinois-fighting-illini
Indiana|Indiana|Big Ten|college-football|indiana-hoosiers
Iowa|Iowa|Big Ten|college-football|iowa-hawkeyes
Maryland|Maryland|Big Ten|college-football|maryland-terrapins
Michigan|Michigan|Big Ten|college-football|michigan-wolverines
Michigan State|Michigan State|Big Ten|college-football|michigan-state-spartans
Minnesota|Minnesota|Big Ten|college-football|minnesota-golden-gophers
Nebraska|Nebraska|Big Ten|college-football|nebraska-cornhuskers
Northwestern|Northwestern|Big Ten|college-football|northwestern-wildcats
Ohio State|Ohio State|Big Ten|college-football|ohio-state-buckeyes
Penn State|Penn State|Big Ten|college-football|penn-state-nittany-lions
Purdue|Purdue|Big Ten|college-football|purdue-boilermakers
Rutgers|Rutgers|Big Ten|college-football|rutgers-scarlet-knights
Wisconsin|Wisconsin|Big Ten|college-football|wisconsin-badgers
Charlotte|Charlotte|Conference USA|college-football|charlotte-49ers
Florida Atlantic|Florida Atlantic|Conference USA|college-football|florida-atlantic-owls
Florida Intl|Florida Intl|Conference USA|college-football|florida-intl-golden-panthers
Louisiana Tech|Louisiana Tech|Conference USA|college-football|louisiana-tech-bulldogs
Marshall|Marshall|Conference USA|college-football|marshall-thundering-herd
Middle Tennessee|Middle Tennessee|Conference USA|college-football|middle-tennessee-blue-raiders
North Texas|North Texas|Conference USA|college-football|north-texas-mean-green
Old Dominion|Old Dominion|Conference USA|college-football|old-dominion-monarchs
Rice|Rice|Conference USA|college-football|rice-owls
Southern Mississippi|Southern Mississippi|Conference USA|college-football|southern-mississippi-golden-eagles
UAB|UAB|Conference USA|college-football|uab-blazers
UT San Antonio|UT San Antonio|Conference USA|college-football|ut-san-antonio-roadrunners
UTEP|UTEP|Conference USA|college-football|utep-miners
Western Kentucky|Western Kentucky|Conference USA|college-football|western-kentucky-hilltoppers
Army|Army|FBS Independents|college-football|army-black-knights
BYU|BYU|FBS Independents|college-football|byu-cougars
Notre Dame|Notre Dame|FBS Independents|college-football|notre-dame-fighting-irish
UMass|UMass|FBS Independents|college-football|umass-minutemen
Akron|Akron|Mid-American|college-football|akron-zips
Ball State|Ball State|Mid-American|college-football|ball-state-cardinals
Bowling Green|Bowling Green|Mid-American|college-football|bowling-green-falcons
Buffalo|Buffalo|Mid-American|college-football|buffalo-bulls
Central Michigan|Central Michigan|Mid-American|college-football|central-michigan-chippewas
Eastern Michigan|Eastern Michigan|Mid-American|college-football|eastern-michigan-eagles
Kent State|Kent State|Mid-American|college-football|kent-state-golden-flashes
Miami (OH)|Miami (OH)|Mid-American|college-football|miami-(oh)-redhawks
Northern Illinois|Northern Illinois|Mid-American|college-football|northern-illinois-huskies
Ohio|Ohio|Mid-American|college-football|ohio-bobcats
Toledo|Toledo|Mid-American|college-football|toledo-rockets
Western Michigan|Western Michigan|Mid-American|college-football|western-michigan-broncos
Air Force|Air Force|Mountain West|college-football|air-force-falcons
Boise State|Boise State|Mountain West|college-football|boise-state-broncos
Colorado State|Colorado State|Mountain West|college-football|colorado-state-rams
Fresno State|Fresno State|Mountain West|college-football|fresno-state-bulldogs
Hawai'i|Hawai'i|Mountain West|college-football|hawai'i-rainbow-warriors
Nevada|Nevada|Mountain West|college-football|nevada-wolf-pack
New Mexico|New Mexico|Mountain West|college-football|new-mexico-lobos
San Diego State|San Diego State|Mountain West|college-football|san-diego-state-aztecs
San Josͩ State|San Josͩ State|Mountain West|college-football|san-jos%C3%A9-state-spartans
UNLV|UNLV|Mountain West|college-football|unlv-rebels
Utah State|Utah State|Mountain West|college-football|utah-state-aggies
Wyoming|Wyoming|Mountain West|college-football|wyoming-cowboys
Arizona|Arizona|Pac-12|college-football|arizona-wildcats
Arizona State|Arizona State|Pac-12|college-football|arizona-state-sun-devils
California|California|Pac-12|college-football|california-golden-bears
Colorado|Colorado|Pac-12|college-football|colorado-buffaloes
Oregon|Oregon|Pac-12|college-football|oregon-ducks
Oregon State|Oregon State|Pac-12|college-football|oregon-state-beavers
Stanford|Stanford|Pac-12|college-football|stanford-cardinal
UCLA|UCLA|Pac-12|college-football|ucla-bruins
USC|USC|Pac-12|college-football|usc-trojans
Utah|Utah|Pac-12|college-football|utah-utes
Washington|Washington|Pac-12|college-football|washington-huskies
Washington State|Washington State|Pac-12|college-football|washington-state-cougars
Alabama|Alabama|SEC|college-football|alabama-crimson-tide
Arkansas|Arkansas|SEC|college-football|arkansas-razorbacks
Auburn|Auburn|SEC|college-football|auburn-tigers
Florida|Florida|SEC|college-football|florida-gators
Georgia|Georgia|SEC|college-football|georgia-bulldogs
Kentucky|Kentucky|SEC|college-football|kentucky-wildcats
LSU|LSU|SEC|college-football|lsu-tigers
Mississippi State|Mississippi State|SEC|college-football|mississippi-state-bulldogs
Missouri|Missouri|SEC|college-football|missouri-tigers
Ole Miss|Ole Miss|SEC|college-football|ole-miss-rebels
South Carolina|South Carolina|SEC|college-football|south-carolina-gamecocks
Tennessee|Tennessee|SEC|college-football|tennessee-volunteers
Texas A&M|Texas A&M;|SEC|college-football|texas-a%26m-aggies
Vanderbilt|Vanderbilt|SEC|college-football|vanderbilt-commodores
Appalachian State|Appalachian State|Sun Belt|college-football|appalachian-state-mountaineers
Arkansas State|Arkansas State|Sun Belt|college-football|arkansas-state-red-wolves
Coastal Carolina|Coastal Carolina|Sun Belt|college-football|coastal-carolina-chanticleers
Georgia Southern|Georgia Southern|Sun Belt|college-football|georgia-southern-eagles
Georgia State|Georgia State|Sun Belt|college-football|georgia-state-panthers
Idaho|Idaho|Sun Belt|college-football|idaho-vandals
Louisiana|Louisiana|Sun Belt|college-football|louisiana-ragin'-cajuns
Louisiana Monroe|Louisiana Monroe|Sun Belt|college-football|louisiana-monroe-warhawks
New Mexico State|New Mexico State|Sun Belt|college-football|new-mexico-state-aggies
South Alabama|South Alabama|Sun Belt|college-football|south-alabama-jaguars
Texas State|Texas State|Sun Belt|college-football|texas-state-bobcats
Troy|Troy|Sun Belt|college-football|troy-trojans
Cal Poly|Cal Poly|Big Sky|college-football|cal-poly-mustangs
Eastern Washington|Eastern Washington|Big Sky|college-football|eastern-washington-eagles
Idaho State|Idaho State|Big Sky|college-football|idaho-state-bengals
Montana|Montana|Big Sky|college-football|montana-grizzlies
Montana State|Montana State|Big Sky|college-football|montana-state-bobcats
North Dakota|North Dakota|Big Sky|college-football|north-dakota-fighting-hawks
Northern Arizona|Northern Arizona|Big Sky|college-football|northern-arizona-lumberjacks
Northern Colorado|Northern Colorado|Big Sky|college-football|northern-colorado-bears
Portland State|Portland State|Big Sky|college-football|portland-state-vikings
Sacramento State|Sacramento State|Big Sky|college-football|sacramento-state-hornets
Southern Utah|Southern Utah|Big Sky|college-football|southern-utah-thunderbirds
UC Davis|UC Davis|Big Sky|college-football|uc-davis-aggies
Weber State|Weber State|Big Sky|college-football|weber-state-wildcats
Charleston Southern|Charleston Southern|Big South|college-football|charleston-southern-buccaneers
Gardner-Webb|Gardner-Webb|Big South|college-football|gardner-webb-bulldogs
Kennesaw State|Kennesaw State|Big South|college-football|kennesaw-state-owls
Liberty|Liberty|Big South|college-football|liberty-flames
Monmouth|Monmouth|Big South|college-football|monmouth-hawks
Presbyterian College|Presbyterian College|Big South|college-football|presbyterian-college-blue-hose
Albany|Albany|CAA|college-football|albany-great-danes
Delaware|Delaware|CAA|college-football|delaware-blue-hens
Elon|Elon|CAA|college-football|elon-phoenix
James Madison|James Madison|CAA|college-football|james-madison-dukes
Maine|Maine|CAA|college-football|maine-black-bears
New Hampshire|New Hampshire|CAA|college-football|new-hampshire-wildcats
Rhode Island|Rhode Island|CAA|college-football|rhode-island-rams
Richmond|Richmond|CAA|college-football|richmond-spiders
Stony Brook|Stony Brook|CAA|college-football|stony-brook-seawolves
Towson|Towson|CAA|college-football|towson-tigers
Villanova|Villanova|CAA|college-football|villanova-wildcats
William & Mary|William & Mary|CAA|college-football|william-%26-mary-tribe
Brown|Brown|Ivy|college-football|brown-bears
Columbia|Columbia|Ivy|college-football|columbia-lions
Cornell|Cornell|Ivy|college-football|cornell-big-red
Dartmouth|Dartmouth|Ivy|college-football|dartmouth-big-green
Harvard|Harvard|Ivy|college-football|harvard-crimson
Pennsylvania|Pennsylvania|Ivy|college-football|pennsylvania-quakers
Princeton|Princeton|Ivy|college-football|princeton-tigers
Yale|Yale|Ivy|college-football|yale-bulldogs
Bethune-Cookman|Bethune-Cookman|MEAC|college-football|bethune-cookman-wildcats
Delaware State|Delaware State|MEAC|college-football|delaware-state-hornets
Florida A&M|Florida A&M;|MEAC|college-football|florida-a%26m-rattlers
Hampton|Hampton|MEAC|college-football|hampton-pirates
Howard|Howard|MEAC|college-football|howard-bison
Morgan State|Morgan State|MEAC|college-football|morgan-state-bears
Norfolk State|Norfolk State|MEAC|college-football|norfolk-state-spartans
North Carolina A&T|North Carolina A&T;|MEAC|college-football|north-carolina-a%26t-aggies
North Carolina Central|North Carolina Central|MEAC|college-football|north-carolina-central-eagles
Savannah State|Savannah State|MEAC|college-football|savannah-state-tigers
South Carolina State|South Carolina State|MEAC|college-football|south-carolina-state-bulldogs
Illinois State|Illinois State|Missouri Valley|college-football|illinois-state-redbirds
Indiana State|Indiana State|Missouri Valley|college-football|indiana-state-sycamores
Missouri State|Missouri State|Missouri Valley|college-football|missouri-state-bears
North Dakota State|North Dakota State|Missouri Valley|college-football|north-dakota-state-bison
Northern Iowa|Northern Iowa|Missouri Valley|college-football|northern-iowa-panthers
South Dakota|South Dakota|Missouri Valley|college-football|south-dakota-coyotes
South Dakota State|South Dakota State|Missouri Valley|college-football|south-dakota-state-jackrabbits
Southern Illinois|Southern Illinois|Missouri Valley|college-football|southern-illinois-salukis
Western Illinois|Western Illinois|Missouri Valley|college-football|western-illinois-leathernecks
Youngstown State|Youngstown State|Missouri Valley|college-football|youngstown-state-penguins
Bryant|Bryant|Northeast|college-football|bryant-bulldogs
Central Connecticut|Central Connecticut|Northeast|college-football|central-connecticut-blue-devils
Duquesne|Duquesne|Northeast|college-football|duquesne-dukes
Robert Morris|Robert Morris|Northeast|college-football|robert-morris-colonials
Sacred Heart|Sacred Heart|Northeast|college-football|sacred-heart-pioneers
St Francis (PA)|St Francis (PA)|Northeast|college-football|st-francis-(pa)-red-flash
Wagner|Wagner|Northeast|college-football|wagner-seahawks
Austin Peay|Austin Peay|Ohio Valley|college-football|austin-peay-governors
Eastern Illinois|Eastern Illinois|Ohio Valley|college-football|eastern-illinois-panthers
Eastern Kentucky|Eastern Kentucky|Ohio Valley|college-football|eastern-kentucky-colonels
Jacksonville State|Jacksonville State|Ohio Valley|college-football|jacksonville-state-gamecocks
Murray State|Murray State|Ohio Valley|college-football|murray-state-racers
Southeast Missouri State|Southeast Missouri State|Ohio Valley|college-football|southeast-missouri-state-redhawks
Tennessee State|Tennessee State|Ohio Valley|college-football|tennessee-state-tigers
Tennessee Tech|Tennessee Tech|Ohio Valley|college-football|tennessee-tech-golden-eagles
UT Martin|UT Martin|Ohio Valley|college-football|ut-martin-skyhawks
Bucknell|Bucknell|Patriot League|college-football|bucknell-bison
Colgate|Colgate|Patriot League|college-football|colgate-raiders
Fordham|Fordham|Patriot League|college-football|fordham-rams
Georgetown|Georgetown|Patriot League|college-football|georgetown-hoyas
Holy Cross|Holy Cross|Patriot League|college-football|holy-cross-crusaders
Lafayette|Lafayette|Patriot League|college-football|lafayette-leopards
Lehigh|Lehigh|Patriot League|college-football|lehigh-mountain-hawks
Butler|Butler|Pioneer|college-football|butler-bulldogs
Campbell|Campbell|Pioneer|college-football|campbell-camels
Davidson|Davidson|Pioneer|college-football|davidson-wildcats
Dayton|Dayton|Pioneer|college-football|dayton-flyers
Drake|Drake|Pioneer|college-football|drake-bulldogs
Jacksonville|Jacksonville|Pioneer|college-football|jacksonville-dolphins
Marist|Marist|Pioneer|college-football|marist-red-foxes
Morehead State|Morehead State|Pioneer|college-football|morehead-state-eagles
San Diego|San Diego|Pioneer|college-football|san-diego-toreros
Stetson|Stetson|Pioneer|college-football|stetson-hatters
Valparaiso|Valparaiso|Pioneer|college-football|valparaiso-crusaders
Chattanooga|Chattanooga|Southern|college-football|chattanooga-mocs
East Tennessee State|East Tennessee State|Southern|college-football|east-tennessee-state-buccaneers
Furman|Furman|Southern|college-football|furman-paladins
Mercer|Mercer|Southern|college-football|mercer-bears
Samford|Samford|Southern|college-football|samford-bulldogs
The Citadel|The Citadel|Southern|college-football|the-citadel-bulldogs
VMI|VMI|Southern|college-football|vmi-keydets
Western Carolina|Western Carolina|Southern|college-football|western-carolina-catamounts
Wofford|Wofford|Southern|college-football|wofford-terriers
Abilene Christian|Abilene Christian|Southland|college-football|abilene-christian-wildcats
Central Arkansas|Central Arkansas|Southland|college-football|central-arkansas-bears
Houston Baptist|Houston Baptist|Southland|college-football|houston-baptist-huskies
Incarnate Word|Incarnate Word|Southland|college-football|incarnate-word-cardinals
Lamar|Lamar|Southland|college-football|lamar-cardinals
McNeese|McNeese|Southland|college-football|mcneese-cowboys
Nicholls|Nicholls|Southland|college-football|nicholls-colonels
Northwestern State|Northwestern State|Southland|college-football|northwestern-state-demons
Sam Houston State|Sam Houston State|Southland|college-football|sam-houston-state-bearkats
Southeastern Louisiana|Southeastern Louisiana|Southland|college-football|southeastern-louisiana-lions
Stephen F. Austin|Stephen F. Austin|Southland|college-football|stephen-f.-austin-lumberjacks
Alabama A&M|Alabama A&M;|SWAC|college-football|alabama-a%26m-bulldogs
Alabama State|Alabama State|SWAC|college-football|alabama-state-hornets
Alcorn State|Alcorn State|SWAC|college-football|alcorn-state-braves
Arkansas-Pine Bluff|Arkansas-Pine Bluff|SWAC|college-football|arkansas-pine-bluff-golden-lions
Grambling|Grambling|SWAC|college-football|grambling-tigers
Jackson State|Jackson State|SWAC|college-football|jackson-state-tigers
Mississippi Valley State|Mississippi Valley State|SWAC|college-football|mississippi-valley-state-delta-devils
Prairie View|Prairie View|SWAC|college-football|prairie-view-panthers
Southern|Southern|SWAC|college-football|southern-jaguars
Texas Southern|Texas Southern|SWAC|college-football|texas-southern-tigers
